metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
mattr,19,0.829004232823466,0.03803870459424494,20,0.8570673150142456,0.02177286783794909,0.37970133446753584,0.5956149809565141,-2.8460260706939664,0.007177922800703486,93.0,0.006699652904924923,-0.9117575731111743,large
type_token_ratio,20,0.6500456613774882,0.08669628788072964,20,0.6204681238516536,0.03433816372240298,0.2782682257146991,0.34169533990027756,1.418513040638081,0.16419091549491915,248.0,0.19883449020829447,0.44857320990673244,small
