source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,difference,abs_difference,u_statistic,u_p_value,cohens_d,effect_size,significant_005,significant_001,characteristic_of
fakebr,article (Articles),10,17.203206870680514,1.7311211576543983,10,12.932350216148512,1.7532160316474883,4.270856654532002,4.270856654532002,94.0,0.0010079762403767444,2.4514107319776164,large,True,True,human
fakebr,relativ (Relativity),10,10.100112241530175,2.1299617647602935,10,13.450121293438759,1.8019331043272195,-3.350009051908584,3.350009051908584,14.0,0.00728455700947966,-1.6981182638252081,large,True,True,machine
fakebr,shehe (SheHe),10,9.155691966091611,2.571431482356238,10,6.500191164152007,1.2059926854162273,2.6555008019396045,2.6555008019396045,80.0,0.025748080821108063,1.3222514987323495,large,True,False,human
fakebr,time (Time),10,4.586617832543668,1.2793800642292654,10,6.214373390817948,1.2085668794836397,-1.6277555582742798,1.6277555582742798,17.5,0.015525521661179775,-1.307983378910887,large,True,False,machine
fakebr,cause (Causal),10,1.9941881240086636,1.1755000530669741,10,3.371622922418857,0.9279674283850434,-1.3774347984101936,1.3774347984101936,18.0,0.017257456083119765,-1.3007049012290792,large,True,False,machine
fakebr,affect (Affect),10,5.9903715398406225,2.1122673287512272,10,3.6352970913531464,1.6824938885339868,2.355074448487476,2.355074448487476,79.0,0.031209012771740218,1.233339502686713,large,True,False,human
fakebr,ppron (Personal Pronouns),10,10.872286885090835,2.6937024463473134,10,8.428993804390714,1.2848291318726763,2.443293080700121,2.443293080700121,77.0,0.04515456962427901,1.157788562974152,large,True,False,human
fakebr,posemo (Positive Emotions),10,2.5949979308674145,0.796837931803698,10,1.6733548544199697,0.8155349199481738,0.9216430764474448,0.9216430764474448,78.0,0.03763531378731424,1.1431364859372841,large,True,False,human
fakebr,certain (Certainty),10,0.8464398649580754,0.6534497965788895,10,1.582055780128432,0.7186441105141372,-0.7356159151703566,0.7356159151703566,23.0,0.04483162202065601,-1.071044689240277,large,True,False,machine
fakebr,space (Space),10,4.829523715987102,2.3652461093786976,10,6.710321318462276,1.0863774913828441,-1.880797602475174,1.880797602475174,27.5,0.09617854690583334,-1.0219156835088579,large,False,False,machine
