metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
rules_per_sentence,20,9.017195357833653,3.746934580323732,20,15.345638944388943,2.6668064194886756,0.023023609331568495,0.4776483890748674,-6.153789068516781,3.5028435316349043e-07,45.0,2.922344929790655e-05,-1.9459989696758997,large
unique_rules_per_sentence,20,5.474446113874306,1.8167652883811984,20,8.882785686535687,1.2027665347788994,0.008529323139393538,0.25917533183270114,-6.995765979818426,2.4919448559455197e-08,36.0,9.729265108981755e-06,-2.212255447374576,large
rule_diversity,20,0.38257562050027005,0.07709325060569873,20,0.30035819582057277,0.03390108648337449,0.07778206904700061,0.8520006029934837,4.365907316547115,9.400871304169737e-05,355.0,2.9248649327368934e-05,1.3806211173482617,large
words_per_sentence,20,21.599972675079055,7.329320168266739,20,35.16363386613386,4.61719910492798,0.04742165760712676,0.211649351714091,-7.0024959030318,2.4402508159487746e-08,30.0,4.540079639937965e-06,-2.214383635957806,large
