source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
fakebr,ADJ,10,4.311859012352572,1.7752482514771155,10,6.276121461515641,1.70111288553851,0.9429814599025216,0.383161645737707,-2.5263347403393883,0.02111788643178115,22.0,0.03763531378731424,-1.1298112426636304,large
fakebr,ADP,10,15.755254060466829,2.8707971573525124,10,15.38020547543502,1.1445393042131882,0.3874254039315532,0.8152345940577596,0.3837540366096488,0.7056559762226465,55.0,0.7337299956962472,0.17162002249982353,negligible
fakebr,ADV,10,2.939319752446194,1.0063069696715696,10,3.962190126344969,0.5101350141412836,0.6957182899314656,0.1081461472039763,-2.8669816638625636,0.010250053388505233,16.0,0.011329696684474665,-1.2821531781284288,large
fakebr,AUX,10,2.716636464828155,1.1748590883030874,10,2.893243668069754,0.8254969625569877,0.6698904695311686,0.9969293958917781,-0.3889480138788909,0.7018773117805922,46.0,0.7913367801006604,-0.17394283974934632,negligible
fakebr,CCONJ,10,1.9115882766631564,0.860335216513069,10,1.8646166496721766,0.4548784903352011,0.8498260685742944,0.15489676005322733,0.15262993517938805,0.8803880099335161,53.0,0.8501067391385259,0.06825818209249965,negligible
fakebr,DET,10,15.573456136161619,1.4637984897912744,10,12.24215889368787,1.6628480001848132,0.06254333974166647,0.40038213494896,4.75522758501726,0.00015813218161736862,92.0,0.0017062493689195964,2.126602425716151,large
fakebr,INTJ,10,0.0,0.0,10,0.0,0.0,,,,,50.0,,0.0,negligible
fakebr,NOUN,10,18.204972104349242,2.0458844411388855,10,19.780030849063216,1.3330629505155744,0.020426909538739563,0.7840222199610096,-2.039742182952351,0.056330352011575546,16.0,0.011329696684474665,-0.912200435531054,large
fakebr,NUM,10,2.0013114435601898,2.1651790380231994,10,1.6684732618940952,0.9506428907106326,0.007443602392886431,0.10105319384388628,0.4451028224256795,0.6615518100257181,40.0,0.47267559351158717,0.19905603358416743,negligible
fakebr,PART,10,0.0,0.0,10,0.0,0.0,,,,,50.0,,0.0,negligible
