metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
rules,224,26.888392857142858,21.29256063071523,261,48.00383141762452,17.788824945905958,3.2893419124164e-16,0.3497195703810819,-11.898011633710357,8.330528386656109e-29,10955.5,1.5287003256512032e-32,-1.0836798438934228,large
unique_rules,224,15.450892857142858,7.374498484560346,261,23.07662835249042,6.175157248994428,3.5635799007873874e-08,8.953164741477418e-05,-12.393783741343583,8.019981778650471e-31,11257.0,1.4265455074354447e-31,-1.1288351401518737,large
words,224,19.415178571428573,15.274820042220771,261,34.53639846743295,13.031161500649036,3.7982967425232474e-16,0.46545379459346764,-11.764906587625447,2.848718018562947e-28,11119.0,5.334436219261709e-32,-1.0715565362346842,large
