metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
rules_per_sentence,20,29.91168742900126,9.957942809466712,20,48.861891441891444,6.3288862319693795,0.06965290150794316,0.17323109302816114,-7.182658319147096,1.3940084873382615e-08,28.0,3.4994618575090576e-06,-2.271355994326142,large
unique_rules_per_sentence,20,16.370677327991157,3.34360328829888,20,23.351973998223997,2.115998788735127,0.26997296760755884,0.23297627806278215,-7.890326231183739,1.5883251514651287e-09,21.0,1.3744977116665488e-06,-2.4951402372312894,large
rule_diversity,20,0.26935712259601907,0.045957025574611225,20,0.20737741958552164,0.016246774364799394,0.34623287070581665,0.5869326772315964,5.686443566414265,1.532919924839187e-06,371.0,3.987358896156635e-06,1.798211345588004,large
words_per_sentence,20,21.599972675079055,7.329320168266739,20,35.16363386613386,4.61719910492798,0.04742165760712676,0.211649351714091,-7.0024959030318,2.4402508159487746e-08,30.0,4.540079639937965e-06,-2.214383635957806,large
