source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
fakebr,ADJ,10,4.311859012352572,1.7752482514771155,10,8.494484544597757,2.2519431248911284,0.9429814599025216,0.8000189684287866,-4.612541963966342,0.00021620528468017705,5.0,0.0007685389131627665,-2.062791476099825,large
fakebr,ADP,10,15.755254060466829,2.8707971573525124,10,16.79550327102451,1.166140722046726,0.3874254039315532,0.6894995503577767,-1.0616246811440497,0.30244321846254124,34.0,0.24132159301718004,-0.4747729907259268,small
fakebr,ADV,10,2.939319752446194,1.0063069696715696,10,3.0218873870317142,0.8830551415676914,0.6957182899314656,0.09643857512956705,-0.19502375645176379,0.8475587717034685,48.0,0.9097218891455553,-0.08721727533070141,negligible
fakebr,AUX,10,2.716636464828155,1.1748590883030874,10,2.0918455501389532,0.7157732793887833,0.6698904695311686,0.6941080413983627,1.4361585532254957,0.16810977690452386,68.0,0.18587673236587576,0.6422696302959917,medium
fakebr,CCONJ,10,1.9115882766631564,0.860335216513069,10,2.364926034221741,0.7719180137444225,0.8498260685742944,0.6380536100296201,-1.240261092244585,0.23080349770169445,36.0,0.3074894566186813,-0.5546616224214059,medium
fakebr,DET,10,15.573456136161619,1.4637984897912744,10,13.877015213378764,1.4766913280184393,0.06254333974166647,0.5309143523736577,2.580060463249916,0.018873372543106903,74.0,0.07566157214388704,1.153838116377282,large
fakebr,INTJ,10,0.0,0.0,10,0.0,0.0,,,,,50.0,,0.0,negligible
fakebr,NOUN,10,18.204972104349242,2.0458844411388855,10,21.410331416965015,2.019180691169937,0.020426909538739563,0.3746799538804473,-3.526264126231191,0.0024118538918814075,12.0,0.004586392080253494,-1.5769932585743687,large
fakebr,NUM,10,2.0013114435601898,2.1651790380231994,10,1.0419669979093633,0.8152933102974759,0.007443602392886431,0.6689243231871302,1.3112574656165896,0.2062523764995669,57.5,0.5965631597626196,0.5864121658245576,medium
fakebr,PART,10,0.0,0.0,10,0.0,0.0,,,,,50.0,,0.0,negligible
fakebr,PRON,10,3.1283109239825566,2.406241316156953,10,1.7804996260874273,0.3879179591044472,0.07042318803547495,0.8528376597575886,1.7487124847267785,0.09737359733676292,69.0,0.16197241048012612,0.7820479977903279,medium
fakebr,PROPN,10,9.120141585361946,4.816093937270349,10,8.107152166943136,2.5627343392911555,0.983796642747716,0.650310631177226,0.5871798813879534,0.5643762791931318,56.0,0.6775849579524755,0.2625948259607455,small
fakebr,PUNCT,10,12.240129874108666,3.8798394888303287,10,9.600397988824255,1.5412861094751338,0.18504508425468258,0.6824806501035828,1.9995262277345562,0.06087689401944431,73.0,0.08897301170181328,0.8942153136016385,large
fakebr,SCONJ,10,1.620427516092241,0.8327077675718075,10,1.3166141644653169,0.4114872353042829,0.02281086220523754,0.7213817773174573,1.034358108280382,0.3146664684697406,56.0,0.6775849579524755,0.46257900863860446,small
fakebr,SYM,10,0.7202398766500078,1.0786958786147383,10,0.28551924719845917,0.4096358764615245,0.0020196434632072124,0.00470501353390679,1.1914016573687591,0.2489691086502544,57.5,0.5718140573849769,0.5328110188764918,medium
fakebr,VERB,10,9.756352972976625,1.6124006123668508,10,9.795217456105428,1.1386490405261234,0.1918280217318416,0.4539899994421641,-0.06226206271743513,0.9510403047479935,46.0,0.7913367801006604,-0.02784444093110805,negligible
fakebr,X,10,0.0,0.0,10,0.016638935108153077,0.052616932781503804,,1.0036928138890277e-07,-1.0,0.3305649312781842,45.0,0.36812025069351895,-0.44721359549995804,small
faketruebr,ADJ,10,4.045617388595944,1.6429094587490107,10,9.247413527027868,1.1742036199570767,0.8801506387014448,0.8328004459409873,-8.145818745703654,1.893027731895102e-07,0.0,0.00018267179110955002,-3.642920889557088,large
faketruebr,ADP,10,14.79370708937746,2.9808133569368245,10,16.107169861473075,1.16946151302978,0.20311892442100776,0.692041209599386,-1.297163293540249,0.21095576969942237,23.0,0.04515456962427901,-0.5801090604547022,medium
faketruebr,ADV,10,3.832005560793693,2.895614532636075,10,3.3920384644739956,1.446038238247283,0.7220078502030406,0.024279060468839066,0.4298634651506541,0.6723969976572687,50.0,1.0,0.1922407858240949,negligible
faketruebr,AUX,10,2.702982703606958,1.742995537496491,10,2.1489614671019983,1.1183523863857043,0.6348567792775539,0.060163819452629004,0.845982295543413,0.40866868082765956,63.0,0.3447042220069576,0.37833478411927784,small
faketruebr,CCONJ,10,3.8984350667458267,2.15562462074924,10,2.534672932202694,1.041045747689632,0.748985661238211,0.2813954137996128,1.8015345941943324,0.08839401069647335,68.5,0.17345557371239162,0.8056707632872053,large
faketruebr,DET,10,13.04425950869977,3.8648240920506116,10,14.438271087702386,1.9374114285734263,0.3646391454111749,0.7623315291203213,-1.0196632200475362,0.3213983409985463,40.0,0.47267559351158717,-0.4560072548365235,small
faketruebr,INTJ,10,0.1558047614670466,0.3749902221056124,10,0.0,0.0,3.848233320313795e-06,,1.3138953697740445,0.2053813208897272,60.0,0.16807831903497028,0.5875918724273972,medium
faketruebr,NOUN,10,26.24589737301904,3.429917417653289,10,22.0310598308208,1.0655334163816874,0.4026738212014448,0.06881576312737125,3.711001411378997,0.0015989951847203998,87.5,0.005142183619730188,1.6596102840882199,large
faketruebr,NUM,10,2.4530232713957187,2.8093128536786467,10,1.082356228396479,1.1290219673814463,0.007913765133277937,0.07511963473352652,1.4315945265611323,0.16939514412961076,70.0,0.13747199804672977,0.6402285355214641,medium
faketruebr,PART,10,0.0,0.0,10,0.0,0.0,,,,,50.0,,0.0,negligible
faketruebr,PRON,10,3.937974489972787,1.6625203788579337,10,2.1483472434196047,1.1141524385435284,0.8555313503983859,0.35484602118562103,2.8277729369386475,0.011152071567328623,80.5,0.02329023492891032,1.2646185023858088,large
faketruebr,PROPN,10,0.9653083823812878,0.9505880234352827,10,5.141163986875917,1.4477427482386729,0.17703977375825664,0.20534422532740326,-7.624572360820048,4.825957929998831e-07,0.0,0.00017861448837368162,-3.4098124196319364,large
faketruebr,PUNCT,10,10.467121928892983,3.506136627413798,10,9.436153314681267,0.9815250129479555,0.7842558723623164,0.5124303808697804,0.8954325622186027,0.38237441901090086,60.0,0.47267559351158717,0.4004496156775212,small
faketruebr,SCONJ,10,1.5549832851114667,1.9238467907182322,10,1.6400445777158168,0.47700268970274734,0.014199901025874925,0.07847920889277357,-0.1357083429071799,0.8935580118638783,33.0,0.21212191786139534,-0.06069061597086114,negligible
faketruebr,SYM,10,0.22962799600889006,0.4096191729363144,10,0.17519699626367471,0.3648393755430718,0.00022816292349014125,2.4871316815520104e-05,0.3137894703094385,0.757288318156768,52.5,0.8521355156231386,0.14033091724711128,negligible
faketruebr,VERB,10,10.894894822404591,1.7371782698920573,10,10.370986334677998,1.380998112743051,0.9054202819174899,0.49444451382020616,0.7465429188390977,0.46497938277582107,60.0,0.47267559351158717,0.3338641429290662,small
faketruebr,X,10,0.7783563715265333,1.0939444353864054,10,0.10616414716642505,0.22660663957296662,0.0030083898887575205,9.564302752403068e-06,1.9027199985096146,0.0731982421844632,74.0,0.04495809583619091,0.8509222517631594,large
