source,metric,human_n,human_mean,human_std,machine_n,machine_mean,machine_std,shapiro_p_human,shapiro_p_machine,t_statistic,t_p_value,u_statistic,u_p_value,cohens_d,effect_size
fakebr,mattr,10,0.8266107383192838,0.03159810717208083,10,0.8759861529589603,0.021226023210183628,0.9330752479536146,0.13865547116752142,-4.101841692583333,0.000669472346633993,10.0,0.0028272720911168077,-1.834399371511826,large
fakebr,type_token_ratio,10,0.6303037774514089,0.0663594575543562,10,0.6052439074072474,0.04164990994607168,0.875052478641726,0.06449369493892525,1.0114746925351636,0.32519357299340673,67.0,0.21229383619233155,0.45234523400586507,small
faketruebr,mattr,10,0.7995701725568902,0.03951988039740628,10,0.8719010190035595,0.02124656807312659,0.9748443334937741,0.7268594911821894,-5.097720626023163,7.517916149260566e-05,5.0,0.0007685389131627665,-2.279769970018115,large
faketruebr,type_token_ratio,10,0.6339583121771077,0.10553984685133498,10,0.63267414694964,0.033148471618042255,0.3702981021868106,0.6888263814649248,0.03670919835001312,0.9711209276467716,56.0,0.6775849579524755,0.01641685258203049,negligible
